NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
AVE MARIA UNIVERSITY,1419,AVE MARIA,FL,COLLIER,12021,2,1177,242
LORAS COLLEGE,1764,DUBUQUE,IA,DUBUQUE,19061,2,1416,348
ILLINOIS COLLEGE,1334,JACKSONVILLE,IL,MORGAN,17137,2,1057,277
PLYMOUTH STATE UNIVERSITY,5545,PLYMOUTH,NH,GRAFTON,33009,2,4648,897
JACKSON STATE UNIVERSITY,8247,JACKSON,MS,HINDS,28049,3,7020,1227
DUKE UNIVERSITY,36367,DURHAM,NC,DURHAM,37063,4,16686,19681
SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL,2747,COBLESKILL,NY,SCHOHARIE,36095,2,2267,480
UNIVERSITY OF ALABAMA AT BIRMINGHAM,32659,BIRMINGHAM,AL,JEFFERSON,01073,5,22080,10579
HERITAGE CHRISTIAN UNIVERSITY,119,FLORENCE,AL,LAUDERDALE,01077,1,86,33
UNIVERSITY OF ALABAMA IN HUNTSVILLE,11597,HUNTSVILLE,AL,MADISON,01089,3,9988,1609
MASSACHUSETTS COLLEGE OF ART AND DESIGN,2685,BOSTON,MA,SUFFOLK,25025,2,2095,590
ST. JOHN'S COLLEGE,527,SANTA FE,NM,SANTA FE,35049,1,363,164
PACIFIC LUTHERAN UNIVERSITY,3923,TACOMA,WA,PIERCE,53053,2,3062,861
BIRMINGHAM-SOUTHERN COLLEGE,1580,BIRMINGHAM,AL,JEFFERSON,01073,2,1209,371
MESSIAH UNIVERSITY,4286,MECHANICSBURG,PA,CUMBERLAND,42041,2,3374,912
DELL'ARTE INTERNATIONAL SCHOOL OF PHYSICAL THEATRE,52,BLUE LAKE,CA,HUMBOLDT,06023,1,31,21
CALIFORNIA STATE UNIVERSITY-LOS ANGELES,29492,LOS ANGELES,CA,LOS ANGELES,06037,5,26671,2821
COLLEGE OF MENOMINEE NATION,316,KESHENA,WI,MENOMINEE,55078,1,191,125
INTERIOR DESIGNERS INSTITUTE,164,NEWPORT BEACH,CA,ORANGE,06059,1,139,25
BIOLA UNIVERSITY,7480,LA MIRADA,CA,LOS ANGELES,06037,3,6103,1377
INSTITUTE OF CLINICAL ACUPUNCTURE & ORIENTAL MED,75,HONOLULU,HI,HONOLULU,15003,1,56,19
SOUTHERN CALIFORNIA SEMINARY,221,EL CAJON,CA,SAN DIEGO,06073,1,176,45
DONGGUK UNIVERSITY-LOS ANGELES,186,LOS ANGELES,CA,LOS ANGELES,06037,1,131,55
LAKEVIEW COLLEGE OF NURSING,186,DANVILLE,IL,VERMILION,17183,1,148,38
KENTUCKY STATE UNIVERSITY,2736,FRANKFORT,KY,FRANKLIN,21073,2,2171,565
NORTHWEST MISSOURI STATE UNIVERSITY,7877,MARYVILLE,MO,NODAWAY,29147,3,7104,773
SOUTHEASTERN BAPTIST COLLEGE,101,LAUREL,MS,JONES,28067,1,63,38
ILIFF SCHOOL OF THEOLOGY,272,DENVER,CO,DENVER,08031,1,227,45
INTERDENOMINATIONAL THEOLOGICAL CENTER,339,ATLANTA,GA,FULTON,13121,1,265,74
EAST-WEST UNIVERSITY,506,CHICAGO,IL,COOK,17031,1,447,59
LINCOLN CHRISTIAN UNIVERSITY,802,LINCOLN,IL,LOGAN,17107,1,672,130
AMERICAN COLLEGE OF THE BUILDING ARTS,131,CHARLESTON,SC,CHARLESTON,45019,1,94,37
UNIVERSITY OF CONNECTICUT-HARTFORD CAMPUS,1562,HARTFORD,CT,HARTFORD,09003,2,1562,-999
BERGIN UNIVERSITY OF CANINE STUDIES,86,PENNGROVE,CA,SONOMA,06097,1,59,27
SAN DIEGO CHRISTIAN COLLEGE,754,SANTEE,CA,SAN DIEGO,06073,1,551,203
SAMUEL MERRITT UNIVERSITY,2580,OAKLAND,CA,ALAMEDA,06001,2,2029,551
PLAZA COLLEGE,1071,FOREST HILLS,NY,QUEENS,36081,1,901,170
CARIBBEAN UNIVERSITY-BAYAMON,1152,BAYAMON,PR,BAYAMÓN,72021,1,944,208
DRURY UNIVERSITY-COLLEGE OF CONTINUING PROFESSIONAL STUDIES,1551,SPRINGFIELD,MO,GREENE,29077,2,1326,225
AUGUSTA UNIVERSITY,14546,AUGUSTA,GA,RICHMOND,13245,3,8650,5896
WESTERN MICHIGAN UNIVERSITY-THOMAS M. COOLEY LAW SCHOOL,1577,LANSING,MI,INGHAM,26065,2,1208,369
WESLEYAN UNIVERSITY,4265,MIDDLETOWN,CT,MIDDLESEX,09007,2,3230,1035
EDWARD VIA COLLEGE OF OSTEOPATHIC MEDICINE,5734,BLACKSBURG,VA,MONTGOMERY,51121,2,1995,3739
FERRUM COLLEGE,1357,FERRUM,VA,FRANKLIN,51067,2,1050,307
HAMPDEN-SYDNEY COLLEGE,1359,HAMPDEN-SYDNEY,VA,PRINCE EDWARD,51147,1,993,366
