NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
AVE MARIA SCHOOL OF LAW,339,"NAPLES",FL,COLLIER,12021,1,270,69
PACIFIC STATES UNIVERSITY,57,LOS ANGELES,CA,LOS ANGELES,06037,1,28,29
COLLEGEAMERICA-FORT COLLINS,110,FORT COLLINS,CO,LARIMER,08069,1,85,25
BRIGHAM YOUNG UNIVERSITY-HAWAII,3690,LAIE,HI,HONOLULU,15003,2,3096,594
BLESSING RIEMAN COLLEGE OF NURSING AND HEALTH SCIENCES,245,QUINCY,IL,ADAMS,17001,1,182,63
COLLEGE OF MOUNT SAINT VINCENT,2538,BRONX,NY,BRONX,36005,2,2077,461
MISSIO THEOLOGICAL SEMINARY,257,PHILADELPHIA,PA,MONTGOMERY,42091,1,202,55
PENTECOSTAL THEOLOGICAL SEMINARY,548,CLEVELAND,TN,BRADLEY,47011,1,455,93
NORTHWEST UNIVERSITY,1747,KIRKLAND,WA,KING,53033,2,1339,408
MANHATTANVILLE COLLEGE,3152,PURCHASE,NY,WESTCHESTER,36119,2,2535,617
COLLEGE UNBOUND,212,PROVIDENCE,RI,PROVIDENCE,44007,1,163,49
REFORMED UNIVERSITY,201,LAWRENCEVILLE,GA,GWINNETT,13135,1,166,35
YESHIVA KOLLEL TIFERETH ELIZER,145,BROOKLYN,NY,KINGS,36047,1,128,17
CALIFORNIA BAPTIST UNIVERSITY,12473,RIVERSIDE,CA,RIVERSIDE,06065,4,11045,1428
GRANITE STATE COLLEGE,2282,CONCORD,NH,MERRIMACK,33013,2,2005,277
UNIVERSITY AT BUFFALO,37358,BUFFALO,NY,ERIE,36029,5,31923,5435
CENTER FOR ADVANCED STUDIES ON PUERTO RICO AND THE CARIBBEAN,474,SAN JUAN,PR,SAN JUAN,72127,1,416,58
COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,13523,AURORA,CO,ARAPAHOE,08005,4,12670,853
"NATIONAL AMERICAN UNIVERSITY-ELLSWORTH AFB EXTENSION",207,ELLSWORTH AIR FORCE BASE,SD,PENNINGTON,46103,1,199,8
CONWAY SCHOOL OF LANDSCAPE DESIGN,31,NORTHAMPTON,MA,HAMPSHIRE,25015,1,17,14
CONSERVATORY OF MUSIC OF PUERTO RICO,560,SAN JUAN,PR,SAN JUAN,72127,1,391,169
AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,1327,MIAMI,FL,MIAMI-DADE,12086,2,1104,223
STEVENSON UNIVERSITY,4435,STEVENSON,MD,BALTIMORE,24005,2,3579,856
PRINCETON THEOLOGICAL SEMINARY,612,PRINCETON,NJ,MERCER,34021,1,364,248
JOHNS HOPKINS UNIVERSITY,46994,BALTIMORE,MD,BALTIMORE (CITY),24510,5,27079,19915
ACADEMY OF ART UNIVERSITY,11725,SAN FRANCISCO,CA,SAN FRANCISCO,06075,3,9812,1913
UNIVERSITY OF BALTIMORE,5338,BALTIMORE,MD,BALTIMORE (CITY),24510,2,4476,862
TOUGALOO COLLEGE,1061,TOUGALOO,MS,MADISON,28089,1,716,345
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,8713,PEMBROKE,NC,ROBESON,37155,3,7698,1015
UNIVERSITY OF NORTH FLORIDA,19263,JACKSONVILLE,FL,DUVAL,12031,4,17117,2146
MANHATTAN SCHOOL OF MUSIC,1485,NEW YORK,NY,NEW YORK,36061,2,1009,476
EUREKA COLLEGE,655,EUREKA,IL,WOODFORD,17203,1,513,142
WESTERN NEW ENGLAND UNIVERSITY,4625,SPRINGFIELD,MA,HAMPDEN,25013,2,3801,824
STRAYER UNIVERSITY-MISSISSIPPI,639,JACKSON,MS,HINDS,28049,1,625,14
"NATIONAL AMERICAN UNIVERSITY-INDIANAPOLIS",60,INDIANAPOLIS,IN,MARION,18097,1,56,4
WILLIAM JEWELL COLLEGE,991,LIBERTY,MO,CLAY,29047,1,739,252
YESHIVA SHOLOM SHACHNA,132,BROOKLYN,NY,KINGS,36047,1,112,20
OKLAHOMA CHRISTIAN UNIVERSITY,2532,EDMOND,OK,OKLAHOMA,40109,2,2064,468
SIMMONS COLLEGE OF KENTUCKY,294,LOUISVILLE,KY,JEFFERSON,21111,1,209,85
UNIVERSITY OF AKRON MAIN CAMPUS,20433,AKRON,OH,SUMMIT,39153,4,17600,2833
WILLIAM JESSUP UNIVERSITY,2192,ROCKLIN,CA,PLACER,06061,2,1743,449
NORTHERN KENTUCKY UNIVERSITY,17615,HIGHLAND HEIGHTS,KY,CAMPBELL,21037,4,15664,1951
PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS,115359,UNIVERSITY PARK,PA,CENTRE,42027,5,91427,23932
INDIANA UNIVERSITY OF PENNSYLVANIA-MAIN CAMPUS,12172,INDIANA,PA,INDIANA,42063,4,10559,1613
VOORHEES COLLEGE,660,DENMARK,SC,BAMBERG,45009,1,510,150
BRYANT UNIVERSITY,4495,SMITHFIELD,RI,PROVIDENCE,44007,2,3640,855
OKLAHOMA BAPTIST UNIVERSITY,2224,SHAWNEE,OK,POTTAWATOMIE,40125,2,1868,356
LIMESTONE COLLEGE,2467,GAFFNEY,SC,CHEROKEE,45021,2,2206,261
UNIVERSITY OF THE SCIENCES,2897,PHILADELPHIA,PA,PHILADELPHIA,42101,2,2285,612
GEORGIA GWINNETT COLLEGE,13975,LAWRENCEVILLE,GA,GWINNETT,13135,4,12831,1144
CHAMBERLAIN UNIVERSITY-ILLINOIS,29533,ADDISON,IL,DUPAGE,17043,5,27741,1792
UNIVERSITY OF CALIFORNIA-SAN DIEGO,55675,LA JOLLA,CA,SAN DIEGO,06073,5,38736,16939
ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,2951,NORTH CHICAGO,IL,LAKE,17097,2,2102,849
LEWIS & CLARK COLLEGE,4119,PORTLAND,OR,MULTNOMAH,41051,2,3223,896
SAINT LEO UNIVERSITY,12651,SAINT LEO,FL,PASCO,12101,4,10912,1739
EDEN THEOLOGICAL SEMINARY,155,WEBSTER GROVES,MO,ST. LOUIS,29189,1,115,40
ST BONAVENTURE UNIVERSITY,3036,SAINT BONAVENTURE,NY,CATTARAUGUS,36009,2,2404,632
PFEIFFER UNIVERSITY,1518,MISENHEIMER,NC,STANLY,37167,2,1277,241
FLORIDA COASTAL SCHOOL OF LAW,223,JACKSONVILLE,FL,DUVAL,12031,1,184,39
NEVADA STATE COLLEGE,6144,HENDERSON,NV,CLARK,32003,3,5584,560
FAITH BAPTIST BIBLE COLLEGE AND THEOLOGICAL SEMINARY,516,ANKENY,IA,POLK,19153,1,362,154
MONMOUTH COLLEGE,1213,MONMOUTH,IL,WARREN,17187,1,907,306
ROCKFORD UNIVERSITY,1537,ROCKFORD,IL,WINNEBAGO,17201,2,1204,333
WILLIAM JAMES COLLEGE,1015,NEWTON,MA,MIDDLESEX,25017,1,796,219
BROOKLYN LAW SCHOOL,1445,BROOKLYN,NY,KINGS,36047,2,1096,349
GEORGETOWN COLLEGE,1857,GEORGETOWN,KY,SCOTT,21209,2,1484,373
HERZING UNIVERSITY-MINNEAPOLIS,619,ST. LOUIS PARK,MN,HENNEPIN,27053,1,515,104
CUNY MEDGAR EVERS COLLEGE,6893,BROOKLYN,NY,KINGS,36047,3,5798,1095
GREENSBORO COLLEGE,1261,GREENSBORO,NC,GUILFORD,37081,2,1021,240
UNIVERSITY OF VERMONT,17781,BURLINGTON,VT,CHITTENDEN,50007,4,13548,4233
BON SECOURS MEMORIAL COLLEGE OF NURSING,543,RICHMOND,VA,HENRICO,51087,1,448,95
LUBBOCK CHRISTIAN UNIVERSITY,2163,LUBBOCK,TX,LUBBOCK,48303,2,1770,393
ANTIOCH UNIVERSITY-PHD PROGRAM IN LEADERSHIP AND CHANGE,181,YELLOW SPRINGS,OH,GREENE,39057,1,161,20
ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE,76,TUCSON,AZ,PIMA,04019,1,35,41
EMORY & HENRY COLLEGE,1651,EMORY,VA,WASHINGTON,51191,2,1292,359
CHURCH DIVINITY SCHOOL OF THE PACIFIC,120,BERKELEY,CA,ALAMEDA,06001,1,75,45
CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY,1270,VALLEJO,CA,SOLANO,06095,1,941,329
UNIVERSITY OF DUBUQUE,2837,DUBUQUE,IA,DUBUQUE,19061,2,2302,535
ELMHURST COLLEGE,4209,ELMHURST,IL,DUPAGE,17043,2,3453,756
LA SIERRA UNIVERSITY,2669,RIVERSIDE,CA,RIVERSIDE,06065,2,2159,510
INTERNATIONAL BUSINESS COLLEGE-FORT WAYNE,163,FORT WAYNE,IN,ALLEN,18003,1,124,39
BLOOMFIELD COLLEGE,2049,BLOOMFIELD,NJ,ESSEX,34013,2,1628,421
SOUTHWESTERN LAW SCHOOL,1050,LOS ANGELES,CA,LOS ANGELES,06037,1,819,231
"NAROPA UNIVERSITY",1287,BOULDER,CO,BOULDER,08013,1,904,383
ALBANY STATE UNIVERSITY,6903,ALBANY,GA,DOUGHERTY,13095,3,6122,781
MOUNT MARY UNIVERSITY,1587,MILWAUKEE,WI,MILWAUKEE,55079,2,1246,341
BENNETT COLLEGE,465,GREENSBORO,NC,GUILFORD,37081,1,311,154
CAMPBELL UNIVERSITY,7623,BUIES CREEK,NC,HARNETT,37085,3,6185,1438
SAN JUAN BAUTISTA SCHOOL OF MEDICINE,522,CAGUAS,PR,CAGUAS,72025,1,330,192
ROSEMAN UNIVERSITY OF HEALTH SCIENCES,2151,HENDERSON,NV,CLARK,32003,2,1641,510
NORTHERN MICHIGAN UNIVERSITY,8797,MARQUETTE,MI,MARQUETTE,26103,3,7732,1065
MINNESOTA STATE UNIVERSITY MOORHEAD,6457,MOORHEAD,MN,CLAY,27027,3,5747,710
LENOIR-RHYNE UNIVERSITY,3246,HICKORY,NC,CATAWBA,37035,2,2742,504
CLARKE UNIVERSITY,1227,DUBUQUE,IA,DUBUQUE,19061,1,904,323
RUSH UNIVERSITY,5094,CHICAGO,IL,COOK,17031,2,2755,2339
GODDARD COLLEGE,453,PLAINFIELD,VT,WASHINGTON,50023,1,340,113
SULLIVAN UNIVERSITY,4210,LOUISVILLE,KY,JEFFERSON,21111,2,3318,892
NORTH CENTRAL UNIVERSITY,1470,MINNEAPOLIS,MN,HENNEPIN,27053,2,1155,315
DREW UNIVERSITY,2887,MADISON,NJ,MORRIS,34027,2,2319,568
LOUISIANA STATE UNIVERSITY-SHREVEPORT,8999,SHREVEPORT,LA,CADDO,22017,3,8579,420
ALBERT EINSTEIN COLLEGE OF MEDICINE,2931,BRONX,NY,BRONX,36005,1,962,1969
PATRICK HENRY COLLEGE,372,PURCELLVILLE,VA,LOUDOUN,51107,1,305,67
IDAHO COLLEGE OF OSTEOPATHIC MEDICINE,408,MERIDIAN,ID,ADA,16001,1,324,84
OTTAWA UNIVERSITY-SURPRISE,976,SURPRISE,AZ,MARICOPA,04013,1,806,170
CHAMPION CHRISTIAN COLLEGE,114,HOT SPRINGS,AR,GARLAND,05051,1,80,34
REISS-DAVIS GRADUATE CENTER,54,LOS ANGELES,CA,LOS ANGELES,06037,1,44,10
UNIVERSITY OF PUERTO RICO-MEDICAL SCIENCES,4534,SAN JUAN,PR,SAN JUAN,72127,2,2207,2327
PILLAR COLLEGE,742,NEWARK,NJ,ESSEX,34013,1,604,138
"NATIONAL AMERICAN UNIVERSITY-OVERLAND PARK",23,OVERLAND PARK,KS,JOHNSON,20091,1,14,9
MESSENGER COLLEGE,64,BEDFORD,TX,TARRANT,48439,1,46,18
PURDUE UNIVERSITY GLOBAL,40127,INDIANAPOLIS,IN,MARION,18097,5,38138,1989
HARDIN-SIMMONS UNIVERSITY,2745,ABILENE,TX,TAYLOR,48441,2,2324,421
UNIVERSITY OF SOUTH ALABAMA,16960,MOBILE,AL,MOBILE,01097,4,14397,2563
LE MOYNE-OWEN COLLEGE,1032,MEMPHIS,TN,SHELBY,47157,1,835,197
HOLLINS UNIVERSITY,1123,ROANOKE,VA,ROANOKE,51161,1,798,325
VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,45083,BLACKSBURG,VA,MONTGOMERY,51121,5,36383,8700
WARNER UNIVERSITY,1294,LAKE WALES,FL,POLK,12105,2,1058,236
UNITY COLLEGE,1211,UNITY,ME,WALDO,23027,1,931,280
THE CATHOLIC UNIVERSITY OF AMERICA,7591,WASHINGTON,DC,DISTRICT OF COLUMBIA,11001,3,5771,1820
THE UNIVERSITY OF TAMPA,11080,TAMPA,FL,HILLSBOROUGH,12057,3,9628,1452
MARIAN UNIVERSITY,1979,FOND DU LAC,WI,FOND DU LAC,55039,2,1656,323
AMERICAN INTERNATIONAL COLLEGE,3549,SPRINGFIELD,MA,HAMPDEN,25013,2,2891,658
SOUTH UNIVERSITY-RICHMOND,585,GLEN ALLEN,VA,HENRICO,51087,1,444,141
PLATT COLLEGE-RIVERSIDE,578,RIVERSIDE,CA,RIVERSIDE,06065,1,473,105
STANDARD HEALTHCARE SERVICES-COLLEGE OF NURSING,443,FALLS CHURCH,VA,FAIRFAX,51059,1,417,26
NICHOLS COLLEGE,1896,DUDLEY,MA,WORCESTER,25027,2,1560,336
CALIFORNIA MIRAMAR UNIVERSITY,240,SAN DIEGO,CA,SAN DIEGO,06073,1,199,41
DEVRY UNIVERSITY-ARIZONA,392,PHOENIX,AZ,MARICOPA,04013,1,328,64
DAVIS & ELKINS COLLEGE,1027,ELKINS,WV,RANDOLPH,54083,1,776,251
CHAMBERLAIN UNIVERSITY-MICHIGAN,425,TROY,MI,OAKLAND,26125,1,338,87
UNILATINA INTERNATIONAL COLLEGE,98,MIRAMAR,FL,BROWARD,12011,1,65,33
ELMEZZI GRADUATE SCHOOL OF MOLECULAR MEDICINE,51,MANHASSET,NY,"NASSAU",36059,1,9,42
NOVA SOUTHEASTERN UNIVERSITY,25126,FORT LAUDERDALE,FL,BROWARD,12011,5,20576,4550
IDAHO STATE UNIVERSITY,14392,POCATELLO,ID,BANNOCK,16005,4,12402,1990
UNIVERSIDAD CENTRAL DE BAYAMON,1501,BAYAMÓN,PR,BAYAMÓN,72021,2,1286,215
STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,9130,NEW PALTZ,NY,ULSTER,36111,3,7757,1373
DENVER COLLEGE OF NURSING,1123,DENVER,CO,DENVER,08031,1,956,167
CHAMBERLAIN UNIVERSITY-TEXAS,1245,HOUSTON,TX,HARRIS,48201,2,1002,243
GETTYSBURG COLLEGE,3260,GETTYSBURG,PA,ADAMS,42001,2,2370,890
MONTANA TECHNOLOGICAL UNIVERSITY,2186,BUTTE,MT,SILVER BOW,30093,2,1714,472
BLUFFTON UNIVERSITY,957,BLUFFTON,OH,ALLEN,39003,1,768,189
WINTHROP UNIVERSITY,6983,ROCK HILL,SC,YORK,45091,3,5865,1118
UNIVERSITY OF ARKANSAS AT MONTICELLO,3305,MONTICELLO,AR,DREW,05043,2,2855,450
PROVIDENCE COLLEGE,5719,PROVIDENCE,RI,PROVIDENCE,44007,2,4618,1101
GRAND VALLEY STATE UNIVERSITY,27204,ALLENDALE,MI,OTTAWA,26139,5,24033,3171
WILMINGTON COLLEGE,1486,WILMINGTON,OH,CLINTON,39027,2,1231,255
MUSKINGUM UNIVERSITY,2762,NEW CONCORD,OH,MUSKINGUM,39119,2,2370,392
SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA,6981,SHIPPENSBURG,PA,CUMBERLAND,42041,3,6084,897
LEE UNIVERSITY,6171,CLEVELAND,TN,BRADLEY,47011,3,5189,982
CALIFORNIA POLYTECHNIC STATE UNIVERSITY-SAN LUIS OBISPO,24297,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,06079,5,21426,2871
GONZAGA UNIVERSITY,9286,SPOKANE,WA,SPOKANE,53063,3,7537,1749
BOSTON UNIVERSITY,44237,BOSTON,MA,SUFFOLK,25025,5,33720,10517
FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS,4074,MADISON,NJ,MORRIS,34027,2,3366,708
NEW JERSEY CITY UNIVERSITY,9403,JERSEY CITY,NJ,HUDSON,34017,3,7949,1454
SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE,535,ALBUQUERQUE,NM,BERNALILLO,35001,1,443,92
CHRIST THE KING SEMINARY,93,EAST AURORA,NY,ERIE,36029,1,55,38
CORNELL UNIVERSITY,35185,ITHACA,NY,TOMPKINS,36109,5,24027,11158
ANTIOCH UNIVERSITY-SEATTLE,810,SEATTLE,WA,KING,53033,1,665,145
"NATIONAL UNIVERSITY OF NATURAL MEDICINE",825,PORTLAND,OR,MULTNOMAH,41051,1,520,305
SAINT VLADIMIRS ORTHODOX THEOLOGICAL SEMINARY,129,YONKERS,NY,WESTCHESTER,36119,1,85,44
KEUKA COLLEGE,2161,KEUKA PARK,NY,YATES,36123,2,1777,384
MERCY COLLEGE OF OHIO,1845,TOLEDO,OH,LUCAS,39095,2,1560,285
EASTERN MENNONITE UNIVERSITY,1771,HARRISONBURG,VA,HARRISONBURG (CITY),51660,2,1358,413
RICHMONT GRADUATE UNIVERSITY,391,CHATTANOOGA,TN,HAMILTON,47065,1,267,124
"BEXLEY HALL SEABURY WESTERN THEOLOGICAL SEMINARY FEDERATION, INC.",106,CHICAGO,IL,COOK,17031,1,80,26
TEXAS STATE UNIVERSITY,42559,SAN MARCOS,TX,HAYS,48209,5,38187,4372
TALLADEGA COLLEGE,1456,TALLADEGA,AL,TALLADEGA,01121,2,1239,217
WHITTIER COLLEGE,2308,WHITTIER,CA,LOS ANGELES,06037,2,1841,467
CASE WESTERN RESERVE UNIVERSITY,16600,CLEVELAND,OH,CUYAHOGA,39035,4,11874,4726
OBLATE SCHOOL OF THEOLOGY,263,SAN ANTONIO,TX,BEXAR,48029,1,164,99
DRAGON RISES COLLEGE OF ORIENTAL MEDICINE,47,GAINESVILLE,FL,ALACHUA,12001,1,40,7
KENTUCKY WESLEYAN COLLEGE,1063,OWENSBORO,KY,DAVIESS,21059,1,863,200
FINLANDIA UNIVERSITY,594,HANCOCK,MI,HOUGHTON,26061,1,414,180
MARTIN LUTHER COLLEGE,1176,NEW ULM,MN,BROWN,27015,1,994,182
MISSOURI VALLEY COLLEGE,2065,MARSHALL,MO,SALINE,29195,2,1768,297
SPERTUS COLLEGE,177,CHICAGO,IL,COOK,17031,1,111,66
HAMPSHIRE COLLEGE,1027,AMHERST,MA,HAMPSHIRE,25015,1,745,282
FIVE TOWNS COLLEGE,901,DIX HILLS,NY,SUFFOLK,36103,1,656,245
PURDUE UNIVERSITY NORTHWEST,11372,HAMMOND,IN,LAKE,18089,4,10006,1366
EDP UNIVERSITY OF PUERTO RICO-VILLALBA,177,VILLALBA,PR,VILLALBA,72149,1,163,14
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT SAN DIEGO,132,SAN DIEGO,CA,SAN DIEGO,06073,1,101,31
MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN-ART INSTITUTE DALLAS,630,DALLAS,TX,DALLAS,48113,1,519,111
STRAYER UNIVERSITY-PENNSYLVANIA,2471,TREVOSE,PA,BUCKS,42017,2,2389,82
SOUTH UNIVERSITY-VIRGINIA BEACH,521,VIRGINIA BEACH,VA,VIRGINIA BEACH (CITY),51810,1,394,127
DEVRY UNIVERSITY-MISSOURI,93,KANSAS CITY,MO,JACKSON,29095,1,70,23
ALHAMBRA MEDICAL UNIVERSITY,217,ALHAMBRA,CA,LOS ANGELES,06037,1,169,48
ANDREWS UNIVERSITY,4272,BERRIEN SPRINGS,MI,BERRIEN,26021,2,3390,882
UNIVERSITY OF PUERTO RICO-ARECIBO,4064,ARECIBO,PR,ARECIBO,72013,2,3545,519
LOYOLA UNIVERSITY MARYLAND,6636,BALTIMORE,MD,BALTIMORE (CITY),24510,3,5473,1163
NORTHERN ILLINOIS UNIVERSITY,19753,DEKALB,IL,DEKALB,17037,4,16609,3144
SHENANDOAH UNIVERSITY,4798,WINCHESTER,VA,WINCHESTER (CITY),51840,2,3791,1007
UNIVERSITY OF MAINE,14232,ORONO,ME,PENOBSCOT,23019,4,11561,2671
XAVIER COLLEGE SCHOOL OF NURSING,123,STOCKTON,CA,SAN JOAQUIN,06077,1,81,42
AMERICAN ACADEMY OF ART,286,CHICAGO,IL,COOK,17031,1,205,81
CENTRAL METHODIST UNIVERSITY-COLLEGE OF GRADUATE AND EXTENDED STUDIES,4048,FAYETTE,MO,HOWARD,29089,2,3821,227
UNIVERSITY OF NORTHWESTERN-ST PAUL,4233,SAINT PAUL,MN,RAMSEY,27123,2,3525,708
WILEY COLLEGE,919,MARSHALL,TX,HARRISON,48203,1,712,207
TRANSYLVANIA UNIVERSITY,1252,LEXINGTON,KY,FAYETTE,21067,1,946,306
UNIVERSITY OF ST THOMAS,11707,SAINT PAUL,MN,RAMSEY,27123,3,9824,1883
ALFRED UNIVERSITY,3029,ALFRED,NY,ALLEGANY,36003,2,2382,647
YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,227,LOS ANGELES,CA,LOS ANGELES,06037,1,142,85
WILLIAM WOODS UNIVERSITY,2608,FULTON,MO,CALLAWAY,29027,2,2153,455
UNION THEOLOGICAL SEMINARY IN THE CITY OF NEW YORK,363,NEW YORK,NY,NEW YORK,36061,1,246,117
ROCKEFELLER UNIVERSITY,1759,NEW YORK,NY,NEW YORK,36061,1,248,1511
STRAYER UNIVERSITY-DELAWARE,416,NEWARK,DE,NEW CASTLE,10003,1,404,12
HERZING UNIVERSITY-BROOKFIELD,617,BROOKFIELD,WI,WAUKESHA,55133,1,559,58
CEM COLLEGE-MAYAGUEZ,230,MAYAGUEZ,PR,MAYAGÜEZ,72097,1,178,52
DEVRY UNIVERSITY-TENNESSEE,59,"NASHVILLE",TN,DAVIDSON,47037,1,45,14
BASTYR UNIVERSITY,1335,KENMORE,WA,KING,53033,1,994,341
LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE,5113,ERIE,PA,ERIE,42049,2,4222,891
STRAYER UNIVERSITY-TENNESSEE,4227,MEMPHIS,TN,SHELBY,47157,2,4121,106
LESLEY UNIVERSITY,5445,CAMBRIDGE,MA,MIDDLESEX,25017,2,4510,935
KUYPER COLLEGE,192,GRAND RAPIDS,MI,KENT,26081,1,143,49
CUNY QUEENS COLLEGE,22664,QUEENS,NY,QUEENS,36081,4,19923,2741
COLUMBIA INTERNATIONAL UNIVERSITY,2007,COLUMBIA,SC,RICHLAND,45079,2,1649,358
UNIVERSITY OF ARKANSAS,32956,FAYETTEVILLE,AR,WASHINGTON,05143,5,27559,5397
WHEATON COLLEGE,3991,WHEATON,IL,DUPAGE,17043,2,3004,987
UNIVERSITY OF SOUTH CAROLINA AIKEN,4307,AIKEN,SC,AIKEN,45003,2,3720,587
WILKES UNIVERSITY,5697,WILKES-BARRE,PA,LUZERNE,42079,2,4680,1017
WASHINGTON & JEFFERSON COLLEGE,1677,WASHINGTON,PA,WASHINGTON,42125,2,1265,412
ALLEN UNIVERSITY,967,COLUMBIA,SC,RICHLAND,45079,1,817,150
UNIVERSITY OF DALLAS,2982,IRVING,TX,DALLAS,48113,2,2481,501
CRANBROOK ACADEMY OF ART,196,BLOOMFIELD HILLS,MI,OAKLAND,26125,1,136,60
CONCORDIA UNIVERSITY-SAINT PAUL,5684,SAINT PAUL,MN,RAMSEY,27123,3,5137,547
KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES,1762,KANSAS CITY,MO,JACKSON,29095,2,1266,496
FELICIAN UNIVERSITY,2730,LODI,NJ,BERGEN,34003,2,2262,468
HOFSTRA UNIVERSITY,13419,HEMPSTEAD,NY,"NASSAU",36059,4,10804,2615
INTER AMERICAN UNIVERSITY OF PUERTO RICO-BARRANQUITAS,1878,BARRANQUITAS,PR,BARRANQUITAS,72019,2,1673,205
EDP UNIVERSITY OF PUERTO RICO INC-SAN JUAN,1583,SAN JUAN,PR,SAN JUAN,72127,2,1398,185
EPIC BIBLE COLLEGE,191,SACRAMENTO,CA,SACRAMENTO,06067,1,145,46
IOWA WESLEYAN UNIVERSITY,801,MOUNT PLEASANT,IA,HENRY,19087,1,622,179
RABBINICAL COLLEGE OF OHR SHIMON YISROEL,243,BROOKLYN,NY,KINGS,36047,1,221,22
TALMUDICAL SEMINARY OHOLEI TORAH,403,BROOKLYN,NY,KINGS,36047,1,359,44
JUNIATA COLLEGE,1842,HUNTINGDON,PA,HUNTINGDON,42061,2,1429,413
LANCASTER BIBLE COLLEGE,2593,LANCASTER,PA,LANCASTER,42071,2,2172,421
SOUTHWESTERN CHRISTIAN COLLEGE,158,TERRELL,TX,KAUFMAN,48257,1,106,52
NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,45980,RALEIGH,NC,WAKE,37183,5,36304,9676
ADELPHI UNIVERSITY,9994,GARDEN CITY,NY,"NASSAU",36059,3,7991,2003
YESHIVA SHAAR HATORAH,119,KEW GARDENS,NY,QUEENS,36081,1,105,14
MID-ATLANTIC CHRISTIAN UNIVERSITY,248,ELIZABETH CITY,NC,PASQUOTANK,37139,1,198,50
MIDWESTERN UNIVERSITY-GLENDALE,4850,GLENDALE,AZ,MARICOPA,04013,2,3910,940
STETSON UNIVERSITY,5460,DELAND,FL,VOLUSIA,12127,2,4429,1031
SIENA COLLEGE,4159,LOUDONVILLE,NY,ALBANY,36001,2,3296,863
DES MOINES UNIVERSITY-OSTEOPATHIC MEDICAL CENTER,1880,DES MOINES,IA,POLK,19153,2,1530,350
UNIVERSITY OF ST THOMAS,4040,HOUSTON,TX,HARRIS,48201,2,3448,592
FAULKNER UNIVERSITY,3502,MONTGOMERY,AL,MONTGOMERY,01101,2,3036,466
COLUMBUS COLLEGE OF ART AND DESIGN,1433,COLUMBUS,OH,FRANKLIN,39049,2,1093,340
WESTMINSTER THEOLOGICAL SEMINARY IN CALIFORNIA,179,ESCONDIDO,CA,SAN DIEGO,06073,1,133,46
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,63607,CHAMPAIGN,IL,CHAMPAIGN,17019,5,51605,12002
LOYOLA UNIVERSITY NEW ORLEANS,5244,NEW ORLEANS,LA,ORLEANS,22071,2,4367,877
SOUTHERN ARKANSAS UNIVERSITY MAIN CAMPUS,4979,MAGNOLIA,AR,COLUMBIA,05027,2,4475,504
ROBERT MORRIS UNIVERSITY ILLINOIS,2034,CHICAGO,IL,COOK,17031,2,1693,341
MIDAMERICA NAZARENE UNIVERSITY,2451,OLATHE,KS,JOHNSON,20091,2,1909,542
HIGH POINT UNIVERSITY,6456,HIGH POINT,NC,GUILFORD,37081,3,5330,1126
JOHNSON C SMITH UNIVERSITY,1858,CHARLOTTE,NC,MECKLENBURG,37119,2,1494,364
CORNERSTONE UNIVERSITY,2424,GRAND RAPIDS,MI,KENT,26081,2,1998,426
OTTAWA UNIVERSITY-PHOENIX,1160,PHOENIX,AZ,MARICOPA,04013,2,1023,137
CALIFORNIA WESTERN SCHOOL OF LAW,999,SAN DIEGO,CA,SAN DIEGO,06073,1,793,206
METROPOLITAN COLLEGE OF NEW YORK,1280,NEW YORK,NY,NEW YORK,36061,1,980,300
COLUMBIA CENTRAL UNIVERSITY-CAGUAS,1170,CAGUAS,PR,CAGUAS,72025,2,1008,162
NEW YORK LAW SCHOOL,1346,NEW YORK,NY,NEW YORK,36061,2,1102,244
ADVENTHEALTH UNIVERSITY,2123,ORLANDO,FL,ORANGE,12095,2,1688,435
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,23247,GREENSBORO,NC,GUILFORD,37081,5,20196,3051
UNIVERSITY OF PUERTO RICO-CAYEY,3339,CAYEY,PR,CAYEY,72035,2,2885,454
